sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jun 15, 2024 18:57:13

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
  +GEN_PROBE[9].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[9].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[10].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     27(27)	     0(0)	     0(0)	
  +GEN_PROBE[10].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[11].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b010100,PIPE=1)	     43(43)	       0(0)	     60(60)	     0(0)	     0(0)	
  +GEN_PROBE[11].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b010100,PIPE=1)	     43(43)	       0(0)	     58(58)	     0(0)	     0(0)	
  +GEN_PROBE[12].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +GEN_PROBE[12].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     12(12)	     0(0)	     0(0)	
  +GEN_PROBE[13].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01011,PIPE=1)	     25(25)	       0(0)	     38(38)	     0(0)	     0(0)	
  +GEN_PROBE[13].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01011,PIPE=1)	     25(25)	       0(0)	     35(35)	     0(0)	     0(0)	
  +GEN_PROBE[14].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01100,PIPE=1)	     27(27)	       0(0)	     37(37)	     0(0)	     0(0)	
  +GEN_PROBE[14].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01100,PIPE=1)	     27(27)	       0(0)	     38(38)	     0(0)	     0(0)	
  +GEN_PROBE[15].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[15].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     11(11)	     0(0)	     0(0)	
  +GEN_PROBE[16].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     28(28)	     0(0)	     0(0)	
  +GEN_PROBE[16].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     27(27)	     0(0)	     0(0)	
  +GEN_PROBE[17].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b010100,PIPE=1)	     43(43)	       0(0)	     61(61)	     0(0)	     0(0)	
  +GEN_PROBE[17].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b010100,PIPE=1)	     43(43)	       0(0)	     59(59)	     0(0)	     0(0)	
  +GEN_PROBE[18].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[18].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[19].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +GEN_PROBE[19].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     11(11)	     0(0)	     0(0)	
  +GEN_PROBE[20].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01100,PIPE=1)	     27(27)	       0(0)	     39(39)	     0(0)	     0(0)	
  +GEN_PROBE[20].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01100,PIPE=1)	     27(27)	       0(0)	     38(38)	     0(0)	     0(0)	
  +GEN_PROBE[21].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +GEN_PROBE[21].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[22].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     28(28)	     0(0)	     0(0)	
  +GEN_PROBE[22].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     27(27)	     0(0)	     0(0)	
  +GEN_PROBE[23].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01100,PIPE=1)	     27(27)	       0(0)	     37(37)	     0(0)	     0(0)	
  +GEN_PROBE[23].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01100,PIPE=1)	     27(27)	       0(0)	     39(39)	     0(0)	     0(0)	
  +GEN_PROBE[24].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b0100,PIPE=1)	     11(11)	       0(0)	     18(18)	     0(0)	     0(0)	
  +GEN_PROBE[24].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0100,PIPE=1)	     11(11)	       0(0)	     14(14)	     0(0)	     0(0)	
  +GEN_PROBE[25].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b011000,PIPE=1)	     51(51)	       0(0)	     70(70)	     0(0)	     0(0)	
  +GEN_PROBE[25].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b011000,PIPE=1)	     51(51)	       0(0)	     70(70)	     0(0)	     0(0)	
  +GEN_PROBE[26].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b010100,PIPE=1)	     43(43)	       0(0)	     60(60)	     0(0)	     0(0)	
  +GEN_PROBE[26].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b010100,PIPE=1)	     43(43)	       0(0)	     58(58)	     0(0)	     0(0)	
  +GEN_PROBE[27].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b010100,PIPE=1)	     43(43)	       0(0)	     59(59)	     0(0)	     0(0)	
  +GEN_PROBE[27].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b010100,PIPE=1)	     43(43)	       0(0)	     59(59)	     0(0)	     0(0)	
  +GEN_PROBE[28].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[28].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     11(11)	     0(0)	     0(0)	
  +GEN_PROBE[29].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[29].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     12(12)	     0(0)	     0(0)	
  +GEN_PROBE[30].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b011000,PIPE=1)	     51(51)	       0(0)	     70(70)	     0(0)	     0(0)	
  +GEN_PROBE[30].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b011000,PIPE=1)	     51(51)	       0(0)	     70(70)	     0(0)	     0(0)	
  +GEN_PROBE[31].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
  +GEN_PROBE[31].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     12(12)	     0(0)	     0(0)	
  +GEN_PROBE[32].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[32].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     11(11)	     0(0)	     0(0)	
  +GEN_PROBE[33].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b0100,PIPE=1)	     11(11)	       0(0)	     15(15)	     0(0)	     0(0)	
  +GEN_PROBE[33].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0100,PIPE=1)	     11(11)	       0(0)	     15(15)	     0(0)	     0(0)	
  +GEN_PROBE[34].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[34].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       8(8)	       0(0)	     12(12)	     0(0)	     0(0)	
  +GEN_PROBE[35].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01100,PIPE=1)	     27(27)	       0(0)	     39(39)	     0(0)	     0(0)	
  +GEN_PROBE[35].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01100,PIPE=1)	     27(27)	       0(0)	     39(39)	     0(0)	     0(0)	
  +trigger_tu:trigger_unit(WIDTH=32'b0100100,PIPE=1)        	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +genblk2.global_capture_inst:trigger_unit(WIDTH=32'b0100100,PIPE=1,TRIGGER_IF_MASK_ZERO=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +la_biu_inst:la_biu(CAPTURE_WIDTH=32'b0100100111,CAPTURE_CONTROL=1)	    466(96)	      53(0)	   402(301)	    60(0)	     0(0)	
   +fifo_with_read_inst:fifo_with_read(DATA_WIDTH=32'b0100101000)	   370(350)	     53(53)	    101(47)	    60(0)	     0(0)	
    +transcode_write_addr:fifo_address_trancode_unit        	     10(10)	       0(0)	     10(10)	     0(0)	     0(0)	
    +transcode_read_addr:fifo_address_trancode_unit         	     10(10)	       0(0)	     20(20)	     0(0)	     0(0)	
    +simple_dual_port_ram_inst:edb_simple_dual_port_ram(DATA_WIDTH=32'b0100101000,ADDR_WIDTH=10,RAM_INIT_FILE="")	       0(0)	       0(0)	     24(24)	   60(60)	     0(0)	
 +debug_hub_inst:debug_hub                                  	     86(86)	       0(0)	     54(54)	     0(0)	     0(0)	
